"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 31 18:14:46 GMT 2021","Sat Jul 31 18:14:46 GMT 2021","165","","TestSignIn","","TestSignIn","TestSignIn","TestSignIn()",""
"broken","Sat Jul 31 18:14:45 GMT 2021","Sat Jul 31 18:14:45 GMT 2021","183","","TestRegistration","","TestRegistration","TestRegistrationNoPassword","TestRegistrationNoPassword()",""
"broken","Sat Jul 31 18:14:45 GMT 2021","Sat Jul 31 18:14:45 GMT 2021","184","","TestRegistration","","TestRegistration","TestRegistrationNoName","TestRegistrationNoName()",""
"broken","Sat Jul 31 18:14:46 GMT 2021","Sat Jul 31 18:14:46 GMT 2021","172","","TestRegistration","","TestRegistration","TestRegistrationNoMatchPassword","TestRegistrationNoMatchPassword()",""
"broken","Sat Jul 31 18:14:46 GMT 2021","Sat Jul 31 18:14:46 GMT 2021","236","","TestSignIn","","TestSignIn","testSuits","testSuits()",""
"broken","Sat Jul 31 18:14:46 GMT 2021","Sat Jul 31 18:14:46 GMT 2021","214","","TestSignIn","","TestSignIn","TestSignInEmptyPasswordField","TestSignInEmptyPasswordField()",""
"broken","Sat Jul 31 18:14:45 GMT 2021","Sat Jul 31 18:14:45 GMT 2021","208","","TestRegistration","","TestRegistration","TestRegistrationNotValidPassword","TestRegistrationNotValidPassword()",""
"broken","Sat Jul 31 18:14:46 GMT 2021","Sat Jul 31 18:14:47 GMT 2021","156","","TestSignIn","","TestSignIn","TestSignInEmptyNameInputField","TestSignInEmptyNameInputField()",""
"broken","Sat Jul 31 18:14:45 GMT 2021","Sat Jul 31 18:14:45 GMT 2021","219","","TestRegistration","","TestRegistration","TestValidRegistration","TestValidRegistration()",""
"broken","Sat Jul 31 18:14:43 GMT 2021","Sat Jul 31 18:14:44 GMT 2021","1212","","TestSignOut","","TestSignOut","TestCompleteSignOut","TestCompleteSignOut()",""
"broken","Sat Jul 31 18:14:47 GMT 2021","Sat Jul 31 18:14:47 GMT 2021","164","","TestSignIn","","TestSignIn","TestSignInWrongPassword","TestSignInWrongPassword()",""
"broken","Sat Jul 31 18:14:45 GMT 2021","Sat Jul 31 18:14:46 GMT 2021","225","","TestRegistration","","TestRegistration","TestRegistrationNoEmailAddress","TestRegistrationNoEmailAddress()",""
